,sd_values,mean_values,CV_values,Gene_Name,LeftEnd,Protein,Function,Description
b0805,0.91102281,8.441925365,0.10791647300000001,fiu,839249,catecholate siderophore receptor,Membrane; Outer membrane constituents,"TonB-dependent ferric iron outer membrane transporter; siderophore receptor for ferri-dihydroxybenzoylserine, ferri-dihydroxybenzoate and other catecholate siderophores; surface receptor for colicins G, H, and E492"
b0806,0.8896802429999999,8.532618603,0.104268137,mcbA,841796,colanic acid mucoidy stimulation protein,Null,"Stimulates colanic acid mucoidy, YhcN family, periplasmic; suppresses biofilm formation; repressed by McbR"
b0807,0.454196165,9.347367146,0.048590813,rlmF,842332,"23S rRNA m(6)A1618 methyltransferase, SAM-dependent",Enzyme; rRNA modification,"23S rRNA m(6)A1618 methyltransferase, SAM-dependent"
b0808,0.576546914,8.296142616000001,0.06949578099999999,ybiO,843255,"mechanosensitive channel protein, intermediate conductance",Putative transport; Not classified,"Mechanosensitive channel protein, intermediate (MscS-like) conductance"
b0809,1.07978599,10.19001163,0.10596513800000001,glnQ,845741,glutamine transporter subunit,"Transport; Transport of small molecules: Amino acids, amines","Glutamine high-affinity transport system, ATP-binding protein"
b0810,0.9160342440000001,10.10818037,0.09062306099999999,glnP,846460,glutamine transporter subunit,"Transport; Transport of small molecules: Amino acids, amines",Glutamine transport system permease protein GlnP
b0811,1.254674087,11.30356184,0.110998118,glnH,847258,glutamine transporter subunit,"Transport; Transport of small molecules: Amino acids, amines","Glutamine-binding protein, periplasmic"
b0812,1.4854321330000002,11.9563059,0.124238385,dps,848408,Fe-binding and storage protein; stress-inducible DNA-binding protein,Regulator; Global regulatory functions,Stress-induced Fe-binding and storage protein; forms biocrystals with DNA; copper homeostatsis
b0813,0.5235020020000001,8.851856297000001,0.059140364,rhtA,849210,threonine and homoserine efflux system,Putative membrane; Not classified,Transporter involved in threonine and homoserine efflux; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine
b0814,0.815797158,12.35531554,0.066028031,ompX,850450,outer membrane protein X,Membrane; Outer membrane constituents,Outer membrane protein X; role in inducing RNAP-sigma E production
b0815,0.6965275259999999,7.8228776479999995,0.089037252,opgE,851014,OPG biosynthetic transmembrane phosphoethanolamine transferase,Putative enzyme; Not classified,OPG biosynthetic phosphoethanolamine transferase; transmembrane ; EptAB family
b0817,0.7730275059999999,9.632935247,0.08024838599999999,mntR,853183,Mn(2+)-responsive manganese regulon transcriptional regulator,Regulator; Not classified,Mn(2+)-responsive manganese regulon transcriptional regulator
b0818,0.466870664,8.788929553,0.05312031,ybiR,853647,putative ArsB family transporter; inner membrane protein,Null,Putative ArsB family transporter; inner membrane protein
b0819,0.694434717,10.00963369,0.06937663599999999,ldtB,854824,"L,D-transpeptidase linking Lpp to murein","Enzyme; Murein sacculus, peptidoglycan","L,D-transpeptidase linking Lpp to murein, periplasmic"
b0820,0.585530463,9.815687671000001,0.059652515999999996,ybiT,855963,ABC-F family putative regulatory ATPase,Putative factor; Not classified,"ABC-F family putative regulatory ATPase, function unknown"
b0821,0.521028852,8.104092511000001,0.064292066,ybiU,857796,DUF1479 family protein,Null,DUF1479 family protein
b0822,0.7070143590000001,8.870021365,0.07970830400000001,ybiV,859213,sugar phosphatase; fructose-1-P/ribose-5-P/glucose-6-P phosphatase,Null,"Sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P; phosphoramidase and acetyl phosphatase; HAD12"
b0823,0.830344028,8.767983297,0.094701826,ybiW,860174,putative pyruvate formate lyase,Putative enzyme; Not classified,"Pyruvate formate-lyase homolog, function unknown"
b0824,0.637027747,8.113867767,0.078510985,ybiY,862612,putative pyruvate formate lyase activating enzyme,Putative enzyme; Not classified,"Pyruvate formate-lyase activase homolog, function unknown"
b0825,0.6468329629999999,8.642250511,0.07484543099999999,fsaA,863642,fructose-6-phosphate aldolase 1,Null,Fructose-6-phosphate aldolase A
b0826,1.201750422,8.290718434,0.144951301,moeB,864380,molybdopterin synthase sulfurylase,"Enzyme; Biosynthesis of cofactors, carriers: Molybdopterin",Molybdopterin-synthase sulfurylase; adenylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme
b0827,1.166011326,8.721780726,0.133689594,moeA,865129,molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein,"Enzyme; Biosynthesis of cofactors, carriers: Molybdopterin",Molybdopterin molybdenumtransferase; molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance
b0828,0.69974534,9.68657342,0.072238686,iaaA,866568,Isoaspartyl peptidase ,Orf; Not classified,"isoAsp aminopeptidase, cleaves isoAsp-X dipeptides; Ntn hydrolase; glutathione utilization; weak L-asparaginase activity in vitro (EcAIII); precursor is cleaved into an alpha and beta subunit; heterotetrameric"
b0829,0.5988692210000001,9.319284219,0.064261289,gsiA,867520,glutathione ABC transporter ATPase,Putative transport; Not classified,Glutathione ABC transporter ATPase
b0830,0.652106572,9.214538347000001,0.070769316,gsiB,869411,glutathione ABC transporter periplasmic binding protein,Putative transport; Not classified,Glutathione ABC transporter periplasmic binding protein
b0831,0.605666927,8.708943068,0.0695454,gsiC,870967,glutathione ABC transporter permease,Putative transport; Not classified,Glutathione ABC transporter permease
b0832,0.42897762700000003,9.079392941,0.047247391,gsiD,871890,glutathione ABC transporter permease,Putative transport; Not classified,Glutathione ABC transporter permease
b0833,0.536372353,8.234094525,0.065140417,yliE,872979,putative membrane-anchored cyclic-di-GMP phosphodiesterase,Null,Membrane-anchored putative cyclic-di-GMP phosphodiesterase
b0834,0.620415185,8.691240247,0.07138396400000001,yliF,875335,putative membrane-anchored diguanylate cyclase,Null,Membrane-anchored putative diguanylate cyclase
b0835,0.604844024,9.299421995,0.065041034,rimO,876710,ribosomal protein S12 methylthiotransferase,Null,Ribosomal protein S12 methylthiotransferase
b0836,1.8714413669999999,9.496183699,0.197072995,bssR,878248,repressor of biofilm formation by indole transport regulation,Putative factor; Not classified,Repressor of biofilm formation by indole transport regulation; global regulator. e.g. of AI-2 transport and motility genes
b0837,0.758479062,9.145407032,0.082935517,yliI,878742,soluble aldose sugar dehydrogenase,Putative enzyme; Not classified,Soluble aldose sugar dehydrogenase; Asd; binds PQQ; outer membrane protein
b0838,0.759241328,9.548393643999999,0.079515085,gstB,879854,glutathione S-transferase,"Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione","Glutathione transferase, iodoacetate-, bromoacetate-specific; natural substrate unknown"
b0839,0.625157344,9.401812306,0.066493281,dacC,880727,D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a,"Enzyme; Murein sacculus, peptidoglycan",D-alanine D-alanine carboxypeptidase PBP6; penicillin-binding protein 6
b0840,0.43443575,9.09057832,0.047789671,deoR,881976,deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx,Regulator; Salvage of nucleosides and nucleotides,"Repressor for deo operon, nupG and tsx; deoxyribose-5-phosphate inducible"
b0841,0.9071205640000001,9.418198644,0.09631571800000001,ybjG,882792,undecaprenyl pyrophosphate phosphatase,Null,"Undecaprenyl pyrophosphate phosphatase; YbjG(UppP), minor activity"
b0842,0.572440054,8.580914219,0.066710847,mdfA,883673,multidrug efflux system protein,Transport; Transport of small molecules: Other,Transmembrane multidrug efflux transporter; confers alkaline pH tolerence
b0843,0.41888736200000004,8.813898091,0.047525778,ybjH,884946,uncharacterized protein,Null,"Predicted periplasmic protein, function unknown"
b0844,0.585914944,8.881882498,0.065967428,ybjI,885316,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis,"Enzyme; Biosynthesis of cofactors, carriers: Riboflavin",5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis
b0845,0.419240602,9.040824726,0.046371942,ybjJ,886131,"putative drug efflux MFS transporter, inner membrane protein",Putative regulator; Not classified,"Putative drug efflux MFS transporter, function unknown; inner membrane protein"
b0846,0.3737743,8.638917877,0.043266333,rcdA,887423,transcriptional regulator of csgD and ybiJI; autoregulator,Putative regulator; Not classified,Transcriptional regulator of csgD and ybiJI; autoregulator
b0847,0.702365893,8.724752752999999,0.08050267,ybjL,888134,putative transporter,Putative transport; Not classified,"Putative AAE family transporter, function unknown"
b0848,0.6912631220000001,8.185310571,0.084451667,ybjM,890089,inner membrane protein,Null,"Inner membrane protein, function unknown"
b0849,0.8374120429999999,9.487200416,0.088267561,grxA,890496,"glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)","Carrier; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione",Glutaredoxin 1
b0850,0.813685085,9.946277749,0.081808,ybjC,890913,DUF1418 family protein,Null,"DUF1418 family protein, function unknown, "
b0851,1.1365249590000002,9.64250189,0.11786619,nfsA,891184,"nitroreductase A, NADPH-dependent, FMN-dependent",Phenotype; Not classified,"Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric"
b0852,1.000869048,9.505753269,0.105290872,rimK,891967,ribosomal protein S6 modification protein,Structural component; Ribosomes - maturation and modification,"Ribosomal protein S6 modification, C-terminal glutmate addition; polyglutamate synthase"
b0853,0.83770341,9.299403128,0.090081417,ybjN,892957,multicopy suppressor of coaA(Ts); ionizing radiation survival protein; putative chaperone; putative negative regulator of fimbriae and motility,Putative regulator; Not classified,Multicopy suppressor of coaA(Ts); ionizing radiation survival protein; putative chaperone; putative negative regulator of fimbriae and motility
b0854,1.1156917240000002,8.926012588999999,0.124993295,potF,893784,putrescine ABC transporter periplasmic binding protein,"Transport; Transport of small molecules: Amino acids, amines",Putrescine ABC transporter periplasmic binding protein
b0855,0.756833284,8.401435543,0.090083805,potG,894991,putrescine ABC transporter ATPase,"Transport; Transport of small molecules: Amino acids, amines",Putrescine ABC transporter ATPase
b0856,0.63885866,8.390344973,0.076142121,potH,896134,putrescine ABC transporter permease,"Transport; Transport of small molecules: Amino acids, amines",Putrescine ABC transporter permease
b0857,0.516290085,8.602504151,0.060016255,potI,897084,putrescine ABC transporter permease,"Transport; Transport of small molecules: Amino acids, amines",Putrescine ABC transporter permease
b0858,0.589131452,8.324189903999999,0.070773428,ybjO,897989,DUF2593 family inner membrane protein,Null,"Inner membrane protein, DUF2593 family, function unknown"
b0859,0.569752858,9.052587826,0.06293812,rlmC,898518,"23S rRNA m(5)U747 methyltransferase, SAM-dependent",Enzyme; rRNA modification,"23S rRNA m(5)U747 methyltransferase, SAM-dependent"
b0860,1.39738518,8.885946297,0.15725789199999998,artJ,899844,arginine ABC transporter periplasmic binding protein,"Transport; Transport of small molecules: Amino acids, amines",Arginine ABC transporter periplasmic binding protein
b0861,0.577696814,9.287423064,0.062202056,artM,900866,arginine ABC transporter permease,"Transport; Transport of small molecules: Amino acids, amines",Arginine ABC transporter permease
b0862,1.285277807,9.601940571,0.133856047,artQ,901534,arginine ABC transporter permease,"Transport; Transport of small molecules: Amino acids, amines",Arginine ABC transporter permease
b0863,1.0218651140000001,10.13043059,0.10087084699999999,artI,902257,arginine transporter subunit,"Transport; Transport of small molecules: Amino acids, amines","Periplasmic binding protein in artPIQM operon, ligand unknown"
b0864,0.7826102,10.87618976,0.07195628400000001,artP,903006,arginine ABC transporter ATPase,"Transport; Transport of small molecules: Amino acids, amines",Arginine ABC transporter ATPase
b0865,1.071740348,10.08035104,0.106319745,ybjP,903952,lipoprotein,Putative enzyme; Not classified,"Novel verified lipoprotein, function unknown"
b0866,0.6946246090000001,10.0516165,0.069105761,ybjQ,904593,UPF0145 family protein,Null,"Conserved protein, UPF0145 family, function unknown"
b0867,0.46211742200000006,9.44370142,0.04893393,amiD,904913,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein",Putative regulator; Not classified,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; verified OM lipoprotein"
b0868,0.5431070060000001,8.506744279,0.063844285,ybjS,905740,putative NAD(P)H-dependent oxidoreductase,Putative enzyme; Not classified,Function unknown; predicted enzyme with a nucleoside diphosphate sugar substrate and an NAD(P) cofactor
b0869,0.586714097,9.612733137000001,0.061035097,ybjT,906852,putative NAD-dependent oxidoreductase,Putative enzyme; Not classified,Predicted NAD-dependent oxidoreductase
b0870,0.515203098,9.986579685,0.051589545,ltaE,908293,"L-allo-threonine aldolase, PLP-dependent",Putative enzyme; Not classified,L-allo-threonine aldolase
b0871,1.1762164259999999,9.497833251,0.12384050099999999,poxB,909331,"pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding",Enzyme; Degradation of small molecules: Carbon compounds,Pyruvate oxidase
b0872,0.646018514,8.952824196,0.07215807,hcr,911182,"HCP oxidoreductase, NADH-dependent",Putative enzyme; Not classified,"Hydrid-cluster protein oxidoreductase; FAD and [2Fe-2S] cofactors, NADH as electron donor"
b0873,0.70817229,8.668730142000001,0.081692737,hcp,912162,hybrid-cluster [4Fe-2S-2O] subunit of anaerobic terminal reductases,Orf; Not classified,"Hydroxylamine reductase, hybrid-cluster [2Fe-2S] protein "
b0874,0.805924179,8.027852342000001,0.10039100699999999,ybjE,913958,putative transporter,Putative structure; Not classified,Function unknown
b0875,0.527771097,8.39712416,0.06285141,aqpZ,915352,aquaporin Z,Transport; Transport of small molecules: Other,"Aquaporin Z, glycerol and water channel; RpoS regulon"
b0876,0.488848235,9.001173721,0.054309388,ybjD,916473,putative OLD family ATP-dependent endonuclease; DUF2813 family protein,Null,Putative OLD family ATP-dependent endonuclease; DUF2813 family protein
b0877,1.026710534,10.06561827,0.102001736,ybjX,918128,DUF535 family protein,Putative enzyme; Not classified,"DUF535 family protein, function unknown; homologous to somA (S.t.) and virK (S.f.)"
b0878,0.49067613600000004,9.341092872,0.052528772,macA,919235,macrolide transporter membrane fusion protein (MFP) component,Putative membrane; Not classified,"Membrane fusion protein (MFP) for macrolide efflux; subunit of ABC-type, TolC-dependent transporter MacAB; signal anchor; periplasmic"
b0879,0.539041356,9.35075989,0.057646797,macB,920347,macrolide ABC transporter peremase/ATPase,Putative transport; Not classified,"ABC-type macrolide efflux transporter, with MacA and TolC"
b0880,1.477531195,10.74734713,0.13747868900000002,cspD,922366,"inhibitor of DNA replication, cold shock protein homolog",Phenotype; Not classified,"Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced; persistance gene"
b0881,0.631871596,10.97926696,0.057551345999999996,clpS,922913,regulatory protein for ClpA substrate specificity,Null,Substrate modulator for ClpAP; directs protease activity towards aggregated proteins
b0882,0.952754028,10.60359228,0.089852005,clpA,923264,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity","Enzyme; Degradation of proteins, peptides, glyco",ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone
b0883,,,,serW,925884,Null,Null,Serine tRNA(GGA) 5
b0884,1.0591056840000002,11.09263271,0.09547829699999999,infA,926225,translation initiation factor IF-1,Factor; Proteins - translation and modification,Translation initiation factor IF-1
b0885,0.420446051,9.263754991,0.045386137,aat,926728,leucyl/phenylalanyl-tRNA-protein transferase,"Enzyme; Aminoacyl tRNA synthetases, tRNA modification","Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease"
b0886,0.593437793,9.152178639,0.064841151,cydC,927474,glutathione/cysteine ABC transporter export permease/ATPase,Transport; Transport of small molecules: Other,Glutathione/cysteine ABC transporter permease/ATPase; exports glutathione and cysteine to the periplasm as required for cytochrome assembly
b0887,0.705992414,8.652864064,0.081590605,cydD,929196,glutathione/cysteine ABC transporter export permease/ATPase,Transport; Not classified,Glutathione/cysteine ABC transporter permease/ATPase; exports cysteine to periplasm as required for cytochrome assembly
b0888,0.8389595670000001,10.21253968,0.082149944,trxB,931085,"thioredoxin reductase, FAD/NAD(P)-binding",Enzyme; 2'-Deoxyribonucleotide metabolism,"Thioredoxin reductase, NADP+, FAD-binding; with TrxA, also has general chaperone activity; dimeric"
b0889,0.93770292,10.68138646,0.08778850199999999,lrp,932595,leucine-responsive global transcriptional regulator,"Regulator; Central intermediary metabolism: Pool, multipurpose conversions","Global regulatory protein, Leu responsive; regulator of high-affinity branched-chain amino acid transport system; octameric or hexadecameric functional state"
b0890,0.617887696,10.32389726,0.059850237,ftsK,933224,DNA translocase at septal ring sorting daughter chromsomes,Phenotype; Cell division,DNA translocase at septal ring sorting daughter chromsomes
b0891,0.693420952,10.31996209,0.06719220000000001,lolA,937372,lipoprotein chaperone,"Transport; Protein, peptide secretion",Periplasmic protein responsible for sorting and transporting lipoproteins to outer membrane
b0892,0.6960989059999999,9.114118909,0.07637588599999999,rarA,937994,recombination intermediate processing DNA-dependent ATPase,Putative enzyme; Not classified,DNA-dependent ATPase involved in processing recombination intermediates; tetrameric
b0893,0.81233631,10.6192359,0.076496682,serS,939428,seryl-tRNA synthetase,"Enzyme; Aminoacyl tRNA synthetases, tRNA modification",Serine--tRNA ligase; serine hydroxamate resistance
b0894,0.937902163,8.822465991,0.106308391,dmsA,940959,"dimethyl sulfoxide reductase, anaerobic, subunit A","Enzyme; Energy metabolism, carbon: Anaerobic respiration","DMSO reductase subunit A, anaerobic, periplasmic"
b0895,0.949582081,8.863393511,0.107135273,dmsB,943414,"dimethyl sulfoxide reductase, anaerobic, subunit B","Enzyme; Energy metabolism, carbon: Anaerobic respiration",DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic
b0896,0.601027369,8.779753461,0.068456064,dmsC,944033,"dimethyl sulfoxide reductase, anaerobic, subunit C","Enzyme; Energy metabolism, carbon: Anaerobic respiration","DMSO reductase subunit C, periplasmic; has a membrane bound anchor"
b0897,1.207366956,9.881260383999999,0.122187546,ycaC,944931,putative isochorismatase family hydrolase,Null,"Predicted hydrolase, isochorismatase family, function unknown; homologous to pyrazinamidase and carbamoylsarcosine amidohydrolase; homooctamer"
b0898,0.537065191,9.137006288,0.05877912,ycaD,945871,"putative MFS transporter, inner membrane protein",Putative transport; Not classified,"Predicted MFS transporter, function unknown; inner membrane protein"
b0899,0.984686148,7.741310091,0.127198903,ycaM,947229,putative transporter,Putative transport; Not classified,"Putative transporter, function unknown"
b0900,0.6820144090000001,7.990881014,0.085349088,ycaN,948660,LysR family putative transcriptional regulator,Putative regulator; Not classified,"Putative transcriptional regulator, function unknown"
b0901,0.7715744920000001,7.53827389,0.102354266,ycaK,949668,putative NAD(P)H-dependent oxidoreductase,Null,Predicted NAD(P)H oxidoreductase
b0902,0.6359587170000001,10.07824528,0.06310212700000001,pflA,950340,pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase,"Enzyme; Energy metabolism, carbon: Anaerobic respiration",Pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase
b0903,1.134852491,11.56863576,0.098097348,pflB,951272,"formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1","Enzyme; Energy metabolism, carbon: Anaerobic respiration",Formate C-acetyltransferase 1; pyruvate formate-lyase 1; induced anaerobically; radical activated by PflA; deactivated by AdhE
b0904,0.9950962659999999,10.73642517,0.092684134,focA,953609,formate channel,Putative transport; Degradation of small molecules: Carbon compounds,Formate channel; mutants are hypophosphite resistance and have elevated intracellular formate and reduced excreted formate
b0905,1.078580687,8.140516927,0.132495356,ycaO,954872,ribosomal protein S12 methylthiotransferase accessory factor,Null,Ribosomal protein S12 methylthiotransferase accessory factor
b0906,0.778823701,9.332176489,0.083455741,ycaP,956762,UPF0702 family putative inner membrane protein,Null,"UPF0702 family predicted inner membrane protein, function unknown, UPF0702 "
b0907,1.042590588,9.793545265,0.10645691199999999,serC,957653,3-phosphoserine/phosphohydroxythreonine aminotransferase,Enzyme; Amino acid biosynthesis: Serine,Phosphoserine aminotransferase
b0908,0.9374248559999999,9.525032547999999,0.09841697099999999,aroA,958812,5-enolpyruvylshikimate-3-phosphate synthetase,Enzyme; Amino acid biosynthesis: Chorismate,5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase
b0909,0.5611327229999999,7.815931525,0.071793454,ycaL,960264,putative peptidase-related chaperone,Putative factor; Not classified,"Verified lipoprotein, predicted metalloprotease"
b0910,0.996659607,10.20423026,0.097671219,cmk,961201,cytidylate kinase,Enzyme; Pyrimidine ribonucleotide biosynthesis,Cytidylate kinase; multicopy suppressor of UMP kinase mutations
b0911,0.948313011,12.32278255,0.076956078,rpsA,961995,30S ribosomal subunit protein S1,"Structural component; Ribosomal proteins - synthesis, modification",30S ribosomal subunit protein S1; subunit of RNA phage Q beta replicase; binds and stimulates RNAP
b0912,0.8765986640000001,11.31603127,0.077465203,ihfB,963828,"integration host factor (IHF), DNA-binding protein, beta subunit","Factor; DNA - replication, repair, restriction/modification","Integration Host Factor (IHF), beta subunit; host infection, mutant phage lambda; site-specific recombination; sequence-specific DNA-binding transcriptional activator"
b0913,0.486713999,7.9323702560000005,0.061357953,ycaI,964320,ComEC family inner membrane protein,Null,"Competence protein ComEC homolog, inner membrane protein, function unknown"
b0914,0.595455975,9.690081571,0.061450048,msbA,966621,lipid ABC transporter permease/ATPase,Transport; Transport of small molecules: Other,"Lipid exporter, fused permease and ATPase components; exports LPS, phospholipids, and lipid A to the outer membrane outer leaflet; drug export and resistance; ABC family transporter; flippase; biogenesis of outer membrane; lipid-activated ATPase"
b0915,0.584350137,9.231586032000001,0.063298997,lpxK,968366,lipid A 4'kinase,Putative enzyme; Not classified,Lipid A 4' kinase
b0916,0.524739958,8.326442373999999,0.063020908,ycaQ,969389,DUF1006 family protein with C-terminal wHTH domain,Null,"DUF1006 family protein, function unknown; C-terminal wHTH domain; predicted DNA-binding protein"
b0917,0.46409019700000004,11.12382844,0.041720366,ycaR,970673,"peroxide and acid resistance protein, UPF0434 family",Null,"UPF0434 family, low abundance protein; function unknown"
b0918,0.582476815,9.89246068,0.058880882999999995,kdsB,970852,3-deoxy-manno-octulosonate cytidylyltransferase,Enzyme; Surface polysaccharides & antigens,3-deoxy-manno-octulosonate cytidylyltransferase; CMP-KDO synthase (CKS); LPS biosynthesis
b0919,0.873703824,8.988626507000001,0.097201038,ycbJ,971752,protein kinase-like domain protein,Null,"Protein kinase-like domain protein, function unknown"
b0920,1.351602212,7.976083900000001,0.16945687,elyC,972622,envelope biogenesis factor; DUF218 superfamily protein,"Factor; Murein sacculus, peptidoglycan",Envelope biogenesis factor; DUF218 superfamily protein
b0921,0.9604859040000001,9.904974155,0.096970057,smtA,973537,putative S-adenosyl-L-methionine-dependent methyltransferase,"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions","Putative methyltransferase, SAM-dependent, Hns-regulated"
b0922,0.808957058,9.482758667,0.085308198,mukF,974319,"chromosome condensin MukBEF, kleisin-like subunit, binds calcium",Factor; Cell killing,"Chromosome condensin MukBEF, kleisin-like subunit, binds calcium"
b0923,0.598846298,10.247286,0.058439503,mukE,975622,"chromosome condensin MukBEF, MukE localization factor",Null,"Chromosome condensin MukBEF, MukE localization factor"
b0924,0.45726038,9.886842219,0.046249385999999996,mukB,976326,"chromosome condensin MukBEF, ATPase and DNA-binding subunit",Structural component; Cell division,"Chromosome condensin MukBEF, ATPase and DNA-binding subunit; SMC-related protein"
b0925,0.735664148,9.82456032,0.074880109,ldtD,981047,"murein L,D-transpeptidase","Enzyme; Murein sacculus, peptidoglycan","Murein L,D-transpeptidase, periplasmic"
b0926,0.836063316,10.76158958,0.077689575,ycbK,983075,M15A protease-related family periplasmic protein,Null,"Periplasmic M15A family non-protease, function unknown"
b0927,0.590180959,9.954807256,0.059286026,ycbL,983650,putative metal-binding enzyme,Null,"Glyoxalase II homolog, function unknown"
b0928,0.90517608,10.75486634,0.084164326,aspC,984519,"aspartate aminotransferase, PLP-dependent",Enzyme; Amino acid biosynthesis: Aspartate,"Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K"
b0929,1.698052452,11.69412202,0.145205638,ompF,985894,outer membrane porin 1a (Ia;b;F),Membrane; Outer membrane constituents,Outer membrane porin F
b0930,0.718548289,9.990959553,0.071919848,asnS,987585,asparaginyl tRNA synthetase,"Enzyme; Aminoacyl tRNA synthetases, tRNA modification",Asparagine--tRNA ligase
b0931,0.7230846890000001,9.838579702999999,0.073494825,pncB,989154,nicotinate phosphoribosyltransferase,"Enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide",Nicotinate phosphoribosyltransferase
b0932,0.557793592,10.46266955,0.053312741,pepN,990622,aminopeptidase N,"Enzyme; Degradation of proteins, peptides, glyco",Aminopeptidase N
b0933,0.53092874,8.773266525,0.060516655,ssuB,993277,aliphatic sulfonate ABC transporter ATPase,Transport; Not classified,Aliphatic sulfonate ABC transporter ATPase; sulfur starvation inducible
b0934,0.60637445,8.756822406,0.069245946,ssuC,994041,aliphatic sulfonate ABC transporter permease,Putative transport; Not classified,Aliphatic sulfonate ABC transporter permease; sulfur starvation inducible
b0935,0.781770931,8.263298192,0.094607615,ssuD,994843,"alkanesulfonate monooxygenase, FMNH(2)-dependent",Null,FMNH2-dependent aliphatic sulfonate monooxygenase; sulfur starvation inducible
b0936,0.941220869,7.665387881,0.12278842,ssuA,995985,aliphatic sulfonate ABC transporter periplasmic binding protein,Null,Aliphatic sulfonate ABC transporter periplasmic binding protein; sulfur starvation inducible
b0937,0.8592967340000001,8.075711146,0.106405085,ssuE,996937,NAD(P)H-dependent FMN reductase,Null,NADP(H):FMN oxidoreductase; sulfur starvation inducible
b0938,0.738586677,7.832422945,0.09429862,elfA,997868,laminin-binding fimbrin subunit,Structural component; Surface structures,"Laminin-binding fimbrin subunit, FimA homolog"
b0939,0.5882962829999999,6.910493046,0.08513087,elfD,998490,putative periplasmic pilin chaperone,Putative factor; Surface structures,"Putative periplasmic pilus chaperone, induced by AI-2 pheromone"
b0940,0.67892686,7.837609785,0.08662422300000001,elfC,999216,putative outer membrane fimbrial subunit export usher protein,Putative membrane; Outer membrane constituents,Putative outer membrane fimbrial subunit export usher protein
b0941,0.604184798,8.229054018,0.07342093,elfG,1001807,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,"FimA homolog, function unknown"
b0942,0.658804548,7.450871169,0.08841980099999999,ycbU,1002889,putative fimbriae protein,Putative structural component; Surface structures,FimA family protein
b0943,0.5136205979999999,7.977603812999999,0.064382816,ycbV,1003439,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,FimA family protein
b0944,0.46630428,8.175265708,0.057038425,ycbF,1003947,putative periplasmic pilin chaperone,Putative factor; Surface structures,"Putative periplasmic pilus chaperone, function unknown"
b0945,1.4402474509999998,8.562040772000001,0.16821310399999997,pyrD,1004768,"dihydro-orotate oxidase, FMN-linked",Enzyme; Pyrimidine ribonucleotide biosynthesis,"Dihydroorotate dehydrogenase, UMP biosynthesis"
b0946,0.734729262,9.371659119,0.07839906,zapC,1005952,FtsZ stabilizer,Null,FtsZ stabilizer
b0947,0.44512087200000006,9.283876105,0.047945585,ycbX,1006491,6-N-hydroxylaminopurine detoxification oxidoreductase,Null,6-N-hydroxylaminopurine detoxification oxidoreductase; 2Fe-2S cluster
b0948,0.924469735,9.390311055,0.09844932,rlmL,1007844,"23S rRNA m(2)G2445 and m(7)G2069 methyltransferases, SAM-dependent",Enzyme; rRNA modification,Fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase; SAM-dependent
